game_id,win,duration,avg_kda,avg_gold_per_min,avg_damage_champ_per_min,avg_vision_score,baron_kills,dragon_kills,tower_kills
3724539056,0,1928,1.4666666666666666,342.6535269709544,617.98755186722,27.2,0,1,2
3724539056,1,1928,4.645238095238095,416.4647302904565,854.8630705394191,32.6,1,4,11
3724710661,0,1991,2.4948412698412694,348.7774987443496,674.9412355600201,29.2,0,3,3
3724710661,1,1991,3.315,412.7975891511804,685.3802109492718,27.0,1,1,12
3724892309,0,2709,2.2305194805194803,386.8704318936877,740.3012181616833,50.6,2,3,7
3724892309,1,2709,3.8,391.55703211517164,918.7951273532669,48.4,1,4,9
3725008852,0,1040,1.8066666666666666,358.85769230769233,417.9807692307692,13.0,0,0,1
3725008852,1,1040,2.533333333333333,409.5,532.8115384615385,6.6,0,2,3
3725028679,0,2166,2.2661904761904763,393.57340720221606,916.3047091412742,34.4,1,2,9
3725028679,1,2166,3.96,383.9058171745152,844.2049861495846,24.4,0,3,7
3725057471,0,1563,1.8514285714285712,328.79078694817656,544.1074856046065,22.8,0,0,3
3725057471,1,1563,5.511904761904762,372.5297504798465,532.1919385796546,22.6,0,4,5
3725076431,0,957,1.0166666666666666,330.9968652037618,382.0940438871474,10.6,0,0,0
3725076431,1,957,3.6266666666666665,394.5705329153605,525.1786833855799,10.0,0,2,1
3727332702,0,1250,0.9755555555555556,351.34080000000006,393.53280000000007,15.0,0,0,2
3727332702,1,1250,5.84,427.45920000000007,624.6336,19.2,0,2,5
3727335633,0,1783,1.8047619047619048,351.8429613011778,537.5367358384744,34.6,0,2,5
3727335633,1,1783,7.76,407.86539540100955,678.6090858104319,29.0,1,2,9
3727335887,0,1921,1.3634920634920635,352.41020301926085,539.9500260281104,24.6,0,2,4
3727335887,1,1921,5.825714285714286,413.0411244143676,740.7204580947424,34.6,1,2,8
3727339724,0,2197,2.2278571428571428,384.58443331816113,778.3177059626763,41.2,1,3,6
3727339724,1,2197,2.735238095238095,392.2421483841602,808.6099226217569,33.0,1,3,9
3727388883,0,2851,2.1401960784313725,361.92774465099967,754.0007015082426,46.4,0,2,5
3727388883,1,2851,3.3698412698412694,382.30375306909855,907.9382672746403,51.2,2,5,9
3727598158,0,1952,2.677922077922078,373.3524590163935,703.875,34.8,0,0,3
3727598158,1,1952,2.854329004329004,433.7766393442624,925.5860655737706,38.6,1,5,11
3727788985,0,1521,1.1947619047619047,369.24654832347136,718.9901380670611,17.4,0,1,2
3727788985,1,1521,4.792857142857143,464.9704142011834,989.3570019723866,17.4,0,2,11
3728226140,0,1573,0.9354761904761905,344.36872218690405,630.3776223776224,17.6,0,3,3
